QALD id,match status,QALD question,QueGG question,comment,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
74,0.8214285714,┬┐Qui├®n es el editor de Forbes?,"""┬┐Cu├íl es editor de Forbes?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
 res:Forbes dbo:editor ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Forbes> <http://dbpedia.org/ontology/editor> ?o . 

}",1,0,0,1,1,1
75,0.7532467532,┬┐Cu├ínta gente vive en la capital de Australia?,"""┬┐Cu├íl era capital de Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
 res:Australia dbo:capital ?x .
 ?x dbo:populationTotal ?num .
}","select ?o 

{

 <http://dbpedia.org/resource/Australia> <http://dbpedia.org/ontology/capital> ?o . 

}",0,1,1,0,0,0
76,0.9696969697,┬┐Qu├® surfistas profesionales nacieron en Australia?,"""┬┐Qu├® surfistas profesionales nacer en Australia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:occupation res:Surfing . 
 ?uri dbo:birthPlace res:Australia . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Australia> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Surfing> . 

}",14,0,0,1,1,1
77,0,┬┐Qu├® compa├▒├¡as de electr├│nica fueron fundadas en Pek├¡n?,,,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Electronics> . ?uri <http://dbpedia.org/ontology/foundationPlace> <http://dbpedia.org/resource/Beijing> . },,0,1,28,0,0,0
78,0.7956989247,Dame todos los videojuegos de Mean Hamster Software.,"""Dame todos videojuegos de Sirius Software""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:VideoGame .
 ?uri dbo:publisher res:Mean_Hamster_Software . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Sirius_Software> . 

}",0,8,2,0,0,0
79,0,┬┐Cu├íntas tiendas Aldi hay?,,,SELECT DISTINCT ?number WHERE { <http://dbpedia.org/resource/Aldi> <http://dbpedia.org/ontology/numberOfLocations> ?number . },,0,1,1,0,0,0
80,0.9491525424,┬┐Cu├íl es la capital de Camer├║n?,"""┬┐Cu├íl es capital de Camer├║n?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?uri. },"select ?o 

{

 <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?o . 

}",1,0,0,1,1,1
83,0.8034188034,Dame todas las pel├¡culas que haya dirigido Francis Ford Coppola.,"""Dame todos pel´┐¢cula dirigido por Francis Ford Coppola""",,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Francis_Ford_Coppola> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",30,0,0,1,1,1
84,0,┬┐Cu├íl es la pel├¡cula de Tim Burton con el mayor presupuesto?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:director res:Tim_Burton .
 ?uri dbo:budget ?b .
}
ORDER BY ?b
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
86,0,┬┐Quien se llamaba Rodzilla?,,,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbp:nickname ""Rodzilla""@en .
}",,0,1,1,0,0,0
88,0.9315068493,Dame todos los nietos de Elvis Presley.,"""Dame todos nietos de Elvis Presley""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/child> ?child . ?child <http://dbpedia.org/ontology/child> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/parent> ?o . 

}",0,1,1,0,0,0
89,0,┬┐Que peliculas protagonizadas por Mickey Rourke han sido dirigidas por Guy Ritchie?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Mickey_Rourke> . ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Guy_Ritchie> . },,0,1,9,0,0,0
90,0.78125,┬┐Cuando muri├│ el creador de Dr├ícula?,"""┬┐Cu├índo muri´┐¢ Conde Dr├ícula?""",,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/creator> ?x . ?x <http://dbpedia.org/ontology/deathDate> ?date . },"select ?o 

{

 <http://dbpedia.org/resource/Count_Dracula> <http://dbpedia.org/ontology/deathDate> ?o . 

}",0,1,1,0,0,0
91,0,┬┐De qu├® pa├¡s viene el creador de Nijntje?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:Miffy dbo:creator ?x .
 ?x dbo:nationality ?uri .
}",,0,1,1,0,0,0
92,0.96,┬┐Cu├íl es el verdadero nombre de Batman?,"""┬┐Cu├íl es verdadero nombre de Batman?""",,SELECT DISTINCT ?s WHERE { <http://dbpedia.org/resource/Batman> <http://dbpedia.org/property/alterEgo> ?s . },"select ?o 

{

 <http://dbpedia.org/resource/Batman> <http://dbpedia.org/property/alterEgo> ?o . 

}",1,0,0,1,1,1
93,1,┬┐Qu├® forma de gobierno tiene Rusia?,"""┬┐Qu├® forma de gobierno tiene Rusia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russia> <http://dbpedia.org/ontology/governmentType> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Russia> <http://dbpedia.org/ontology/governmentType> ?o . 

}",1,0,0,1,1,1
94,0,┬┐Cuantas compa├▒├¡as han sido fundadas por el fundador de Facebook?,,,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri . ?uri <http://dbpedia.org/ontology/foundedBy> ?uri . },,0,1,1,0,0,0
95,0,Dame todos las empresas canadienses productoras de m├║sica Grunge.,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?uri rdf:type dbo:RecordLabel .
 ?uri dbo:genre res:Grunge .
 ?uri dbo:country res:Canada .
}",,0,1,1,0,0,0
96,0.8051948052,┬┐Cu├íntos hijos tuvo Benjamin Franklin?,"""┬┐Cu├íles son hijos de Benjamin Franklin?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/child> ?o . 

}",0,3,1,0,0,0
97,0.9111111111,Dame una lista de los hijos de Margaret Thatcher.,"""Dame una lista hijos de Margaret Thatcher""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
 res:Margaret_Thatcher dbo:child ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?o . 

}",2,0,0,1,1,1
98,0.8636363636,┬┐De que regi├│n es el vino Melon de Bourgogne?,"""De que feminine es vino Melon de Bourgogne?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE {
 res:Melon_de_Bourgogne dbo:wineRegion ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Melon_de_Bourgogne> <http://dbpedia.org/ontology/wineRegion> ?o . 

}",4,0,0,1,1,1
99,0.8051948052,┬┐Cu├íl es el hijo mas mayor de Meryl Streep?,"""┬┐Cu├íles son hijas de Meryl Streep?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Meryl_Streep dbo:child ?uri . 
 ?uri dbo:birthDate ?d .
}
ORDER BY ASC(?d)
OFFSET 0 LIMIT 1","select ?o 

{

 <http://dbpedia.org/resource/Meryl_Streep> <http://dbpedia.org/ontology/child> ?o . 

}",1,2,0,0.3333333333,1,0.5
102,0.813559322,Dame todos los juegos de GMT.,"""Dame todos juegos de GMT Games""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:publisher res:GMT_Games .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/GMT_Games> . 

}",7,0,0,1,1,1
103,0,┬┐Desemboca el Isar en un lago?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
ASK
WHERE {
 ?x dbo:inflow res:Isar .
 ?x rdf:type dbo:Lake . 
}",,0,1,1,0,0,0
104,0.835443038,┬┐Qu├® aeropuertos sirve Yeti Airlines?,"""┬┐En qu├® aeropuertos atender Yeti Airlines?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?o . 

}",0,1,3,0,0,0
105,0,┬┐Qu├® empresa de la India tiene el mayor n├║mero de empleados?,,,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/India> . ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
106,0.7843137255,┬┐Qu├® color expresa lealtad?,"""┬┐Qu├® color expres´┐¢ Bird?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/connotation> <http://dbpedia.org/resource/Loyalty> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/connotation> <'Bird'@en> . 

}",0,1,1,0,0,0
107,0,┬┐Que ciudad tiene la mayor poblaci├│n?,,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:City . 
 ?uri dbo:populationTotal ?pop . 
}
ORDER BY DESC(?pop)
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
108,0.8837209302,┬┐Qui├®n cre├│ Wikipedia?,"""┬┐Qu├® crear Wikipedia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
 res:Wikipedia dbo:author ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/Wikipedia> <http://dbpedia.org/ontology/author> ?o . 

}",2,0,0,1,1,1
111,0.7073170732,┬┐Cu├íntos grupos ├®tnicos viven en Eslovenia?,"""┬┐Cu├íntas Personas viven en Florencia?""",,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE { <http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Florence> <http://dbpedia.org/ontology/populationTotal> ?o . 

}",0,1,1,0,0,0
112,0.7368421053,┬┐Qui├®n es el presidente de Eritrea?,"""┬┐Qui├®n es muri´┐¢ Presidente de Montenegro?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?uri . <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leaderTitle> 'President'@en . },"select ?o 

{

 <http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/deathCause> ?o . 

}",0,1,1,0,0,0
113,0.9350649351,┬┐Qu├® pel├¡culas dirigio Stanley Kubrick?,"""┬┐Qu├® pel´┐¢cula dirigi´┐¢ Stanley Kubrick?""",,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",16,0,0,1,1,1
114,0.8571428571,┬┐Cuando se completo el Titanic?,"""┬┐Cu├índo se complet´┐¢ RMS Titanic?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date
WHERE { 
 res:RMS_Titanic dbo:completionDate ?date . 
}","select ?o 

{

 <http://dbpedia.org/resource/Titanic> <http://dbpedia.org/ontology/completionDate> ?o . 

}",0,1,1,0,0,0
115,0,┬┐Cu├íntas p├íginas tiene Guerra y Paz?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?n
WHERE {
 res:War_and_Peace dbo:numberOfPages ?n .
}",,0,1,1,0,0,0
116,0,┬┐Qui├®n es el jugador m├ís j├│ven de la Premier League?,,,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri dbo:team ?x . 
 ?x dbo:league res:Premier_League . 
 ?uri dbo:birthDate ?y . 
} 
ORDER BY DESC(?y) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
117,0.8684210526,┬┐Cu├íl es la monta├▒a mas alta en Italia?,"""┬┐Cu├íl es monta´┐¢as m´┐¢s alta in Italia?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri rdf:type dbo:Mountain .
 ?uri dbo:locatedInArea res:Italy .
 ?uri dbo:elevation ?num .
}
ORDER BY DESC(?num)
OFFSET 0 LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Italy> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
118,0.9411764706,┬┐C├│mo de alta es Claudia Schiffer?,"""┬┐C├│mo in alta es Claudia Schiffer?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?height 
WHERE { 
 res:Claudia_Schiffer dbo:height ?height . 
}","select ?o 

{

 <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/height> ?o . 

}",1,0,0,1,1,1
119,0.8444444444,┬┐Qui├®n fu├® el vicepresidente de John F. Kennedy?,"""┬┐Qu├® vicepresidente tiene John F. Kennedy?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { res:John_F._Kennedy dbo:vicePresident ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/vicePresident> ?o . 

}",1,0,0,1,1,1
120,0,┬┐Qu├® subsidiario de Lufthansa vuela en Dortmund y en Berlin?,,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE {
 res:Lufthansa dbo:subsidiary ?uri .
 ?uri dbo:targetAirport res:Dortmund_Airport .
 ?uri dbo:targetAirport res:Berlin_Tegel_Airport .
}",,0,1,22,0,0,0
121,0.8157894737,┬┐Qui├®n fu├® el sucesor de John F. Kennedy?,"""┬┐Qu├® sucesor tiene John F. Kennedy?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
 res:John_F._Kennedy dbo:successor ?uri .
}","select ?o 

{

 <http://dbpedia.org/resource/John_F._Kennedy> <http://dbpedia.org/ontology/successor> ?o . 

}",3,0,0,1,1,1
122,0.8131868132,┬┐Qui├®n compuso la banda sonora del Titanic de Cameron?,"""┬┐Qu├® compuso la banda sonora Titanic?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> <http://dbpedia.org/ontology/musicComposer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Titanic_(1997_film)> <http://dbpedia.org/ontology/musicComposer> ?o . 

}",1,0,0,1,1,1
123,0.7605633803,┬┐Qu├® pel├¡culas ha rodado Kurosawa?,"""┬┐Qu├® pel´┐¢cula actuado Akira Kurosawa?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
 ?uri rdf:type dbo:Film .
 ?uri dbo:director res:Akira_Kurosawa .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Akira_Kurosawa> . ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . 

}",0,1,32,0,0,0
124,0,┬┐Qu├® discogr├ífica grab├│ el primer album de Elvis?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
 ?x rdf:type dbo:Album .
 ?x dbo:artist res:Elvis_Presley .
 ?x dbo:releaseDate ?y .
 ?x dbo:recordLabel ?uri .
}
ORDER BY ASC(?y) 
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
125,1,┬┐En qu├® zona horaria esta Roma?,"""┬┐En qu├® zona horaria esta Roma?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Rome> <http://dbpedia.org/property/timezone> ?o . 

}",0,1,1,0,0,0
126,0.9056603774,┬┐Cual es la moneda de China?,"""┬┐Cu├íl es moneda de China?""",,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE { 
 res:China dbo:currency ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/China> <http://dbpedia.org/ontology/currency> ?o . 

}",1,0,0,1,1,1
127,0.8674698795,┬┐Qui├®nes son los desarrolladores de DBpedia?,"""┬┐Cu├íles son desarrolladores de DBpedia?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?o . 

}",3,0,0,1,1,1
129,0.8148148148,┬┐Qui├®n es el rey de los Pa├¡ses Bajos?,"""┬┐Qu├® pa´┐¢ses habl´┐¢ Reino de los Pa├¡ses Bajos?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?uri . ?uri a <http://dbpedia.org/ontology/Royalty> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Netherlands> . 

}",0,87,2,0,0,0
130,0.8169014085,┬┐En que ciudad muri├│ Nikos Kazantzakis?,"""┬┐De qu├® muri´┐¢ Nikos Kazantzakis?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Town> . },"select ?o 

{

 <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathCause> ?o . 

}",0,1,3,0,0,0
131,0,┬┐Qui├®n fue el padre de la reina Isabel II?,,,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri
WHERE { 
 res:Elizabeth_II dbp:father ?uri .
}",,0,1,1,0,0,0
132,0,Dame una lista de todas las aves en peligro de extinci├│n.,,,SELECT DISTINCT ?uri ?p WHERE { ?uri a <http://dbpedia.org/ontology/Bird> . { ?uri <http://dbpedia.org/ontology/conservationStatus> 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } UNION { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } },,0,1,1,0,0,0
133,0.7446808511,┬┐Cu├íntos habitantes tiene la ciudad m├ís grande de Canad├í?,"""┬┐Cu├íl es ciudad m´┐¢s grande de Canad├í?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
 res:Canada dbo:largestCity ?city . 
 ?city dbo:populationTotal ?num .
}","select ?o 

{

 <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/largestCity> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}",0,1,1,0,0,0
134,0.8440366972,┬┐En qu├® conflictos militares particip├│ Lawrence de Arabia?,"""┬┐En qu├® conflictos militares participar Lance Bass?""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
 res:T._E._Lawrence dbo:battle ?uri . 
}","select ?o 

{

 <http://dbpedia.org/resource/Lance_Bass> <http://dbpedia.org/ontology/battle> ?o . 

}",0,1,10,0,0,0
135,0,┬┐Que libro tiene el mayor numero de paginas?,,,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
 ?uri rdf:type dbo:Book . 
 ?uri dbo:numberOfPages ?n .
}
ORDER BY DESC(?n)
OFFSET 0 LIMIT 1",,0,1,1,0,0,0
136,0.7843137255,┬┐En qu├® pa├¡s nace el Nilo?,"""┬┐En qu├® actor nacer Nilo?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
 res:Nile dbo:sourceCountry ?uri .
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Nile> . ?s <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . 

}",0,1,2,0,0,0
137,0,┬┐Qui├®n es el conductor de Formula 1 con m├ís carreras?,,,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer> . ?uri <http://dbpedia.org/ontology/races> ?x . } ORDER BY DESC(?x) OFFSET 0 LIMIT 1,,0,1,1,0,0,0
138,0.8285714286,┬┐Qu├® compa├▒├¡as producen aerodeslizadores?,"""┬┐Qu├® producen Aerodeslizador?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Hovercraft> . },"select ?s 

{

 ?s <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Hovercraft> . 

}",3,0,0,1,1,1
140,0.8421052632,┬┐En que ciudad naci├│ el presidente de Montenegro?,"""┬┐Qu├® ciudad vivir en Presidente de Montenegro?""",,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/office> <http://dbpedia.org/resource/President_of_Montenegro> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/City> . },"select ?o 

{

 <http://dbpedia.org/resource/President_of_Montenegro> <http://dbpedia.org/ontology/residence> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> . 

}",0,1,5,0,0,0
141,0.8852459016,┬┐En qu├® pa├¡s naci├│ Bill Gates?,"""┬┐En qu├® a´┐¢os nacido Bill Gates?""",,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bill_Gates> <http://dbpedia.org/ontology/birthPlace> ?x . ?x <http://dbpedia.org/ontology/country> ?uri . },"select ?o 

{

 <http://dbpedia.org/resource/Bill_Gates> <http://dbpedia.org/ontology/birthYear> ?o . 

}",0,1,1,0,0,0
142,0.776119403,┬┐En qu├® pa├¡ses se habla japon├®s?,"""┬┐En qu├® pa´┐¢s hablar Idioma japon├®s?""",,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Japanese_language> . },"select ?o 

{

 <http://dbpedia.org/resource/Japanese_language> <http://dbpedia.org/ontology/language> ?o . ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . 

}",0,1,5,0,0,0
143,0.7356321839,Mu├®strame el libro escrito por Muhammad Ali.,"""Dame todos persona escrito por Muhammad Ali""",,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
 ?uri rdf:type dbo:Book . 
 ?uri dbo:author res:Muhammad_Ali . 
}","select ?s 

{

 ?s <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Muhammad_Ali> . 

}",1,0,0,1,1,1
145,0.7058823529,┬┐Cu├íl es el prefijo de Berlin?,"""┬┐Cu├íl es partido de Benjamin Franklin?""",,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?string 
WHERE {
 res:Berlin dbo:areaCode ?string .
}","select ?o 

{

 <http://dbpedia.org/resource/Benjamin_Franklin> <http://dbpedia.org/ontology/party> ?o . 

}",0,1,1,0,0,0
