"ID","status","sentence","sparqlQald"
"263","WORK","Which electronics companies were founded in Beijing?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/foundationPlace> ?Arg .}"
"264","WORK","Who was the successor of John F. Kennedy?","SELECT ?Answer WHERE { http://dbpedia.org/resource/John_F._Thompson <http://dbpedia.org/ontology/successor> ?Answer .}"
"265","WORK","Who is the mayor of Paris?","SELECT ?Answer WHERE { http://dbpedia.org/resource/7th_arrondissement_of_Paris <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"266","N","Did Arnold Schwarzenegger attend a university?","N"
"267","N","Is James Bond married?","N"
"268","N","Does the Isar flow into a lake?","N"
"269","N","Which Indian company has the most employees?","N"
"270","N","Who was John F. Kennedy's vice president?","N"
"271","WORK","Which country does the creator of Miffy come from?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Country>.}"
"273","N","In what city is the Heineken brewery?","N"
"274","N","Is Barack Obama a democrat?","N"
"275","WORK","List the children of Margaret Thatcher.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?Answer .}"
"276","N","From which region is the Melon de Bourgogne?","N"
"278","WORK","how big is the total area of North Rhine- Westphalia?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Of_Arena <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"279","N","Which city has the most inhabitants?","N"
"280","N","What is Donald Trump's main business?","N"
"281","N","When will start the final match of the football world cup 2018?","N"
"282","WORK","Which films did Stanley Kubrick direct?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> ?Arg .}"
"283","N","how much is the population  Iraq?","N"
"284","WORK","How many inhabitants does the largest city in Canada have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Centre_In_The_Square <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"285","WORK","Who is the mayor of the capital of French Polynesia?","SELECT ?Answer WHERE { http://dbpedia.org/resource/French_Community_of_Belgium <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"286","WORK","Give me all actors starring in movies directed by William Shatner.","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"287","WORK","How tall is Claudia Schiffer?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Claudia_Schiffer> <http://dbpedia.org/ontology/height> ?Answer .}"
"288","WORK","how much is the population densty rank of germany?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Germany> <http://dbpedia.org/property/populationDensityRank> ?Answer .}"
"289","N","What is the highest mountain in Italy?","N"
"290","N","List all games by GMT.","N"
"291","WORK","What is the official language of Suriname?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage> ?Answer .}"
"292","WORK","In which city did Nikos Kazantzakis die?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/deathPlace> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/City>.}"
"293","N","What is in a chocolate chip cookie?","N"
"294","WORK","In which country is the Limerick Lake?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Country>.}"
"295","WORK","Give me all video games published by Mean Hamster Software.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/VideoGame>.}"
"296","N","Give me all members of Prodigy.","N"
"297","N","In which time zone is Rome?","N"
"298","WORK","How high is the lighthouse in Colombo?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Colombo <http://dbpedia.org/ontology/elevation> ?Answer .}"
"299","WORK","Who are the writers of the Wall album of Pink Floyd?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Echoes:_The_Best_of_Pink_Floyd <http://dbpedia.org/property/writer> ?Answer .}"
"300","WORK","Who is the mayor of Rotterdam?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Rotterdam> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"301","N","What is the largest city in Australia?","N"
"302","WORK","Who was married to president Chirac?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/spouse> http://dbpedia.org/resource/Jacques_Chirac .}"
"303","WORK","What form of government is found in South Africa?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> http://dbpedia.org/resource/Government_of_Saskatchewan .}"
"304","WORK","How high is the Yokohama Marine Tower?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Tower_Lake <http://dbpedia.org/ontology/elevation> ?Answer .}"
"305","N","Which holidays are celebrated around the world? ","N"
"306","WORK","Who is the tallest basketball player?","SELECT DISTINCT ?subjOfProp WHERE { ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BasketballPlayer> . ?subjOfProp <http://dbpedia.org/ontology/height> ?num . } ORDER BY DESC(?num) LIMIT 1"
"307","N","How many languages are spoken in Turkmenistan?","N"
"308","N","Did Che Guevara have children?","N"
"309","N","Did Kaurismäki ever win the Grand Prix at Cannes?","N"
"310","WORK","To which party does the mayor of Paris belong?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/architecturalStyle> http://dbpedia.org/resource/Architecture_of_the_Philippines .}"
"311","N","Who is the Formula 1 race driver with the most races?","N"
"312","N","What country is Sitecore from?","N"
"313","WORK","Give me the birth place of Frank Sinatra.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Frank_Sinatra> <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"314","N","Is Christian Bale starring in Velvet Goldmine?","N"
"315","WORK","Who is the son of Sonny and Cher?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Cher <http://dbpedia.org/ontology/child> ?Answer .}"
"316","N","How many ethnic groups live in Slovenia?","N"
"317","WORK","What is the capital of Cameroon?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Cameroon> <http://dbpedia.org/ontology/capital> ?Answer .}"
"318","N","Was Natalie Portman born in the United States?","N"
"319","WORK","How many pages does War and Peace have?","SELECT ?Answer WHERE { http://dbpedia.org/resource/War_Heroes_Stadium <http://dbpedia.org/ontology/seatingCapacity> ?Answer .}"
"320","N","Who is the oldest child of Meryl Streep?","N"
"321","WORK","Which television shows were created by Walt Disney?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/TelevisionShow>.}"
"322","N","What does IYCM stand for?","N"
"323","WORK","Which types of grapes grow in Oregon?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/growingGrape> ?Answer .}"
"324","N","Was U.S. president Jackson involved in a war?","N"
"325","N","When was the Titanic completed?","N"
"326","N","Did Tesla win a nobel prize in physics?","N"
"327","N","How many states are in Mexico?","N"
"328","WORK","Which scientist is known for the Manhattan Project and the Nobel Peace Prize?","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Coles <http://dbpedia.org/ontology/knownFor> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Scientist>.}"
"329","N","How much did the Lego Movie cost?","N"
"330","WORK","Who composed the music for Harold and Maude?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/musicComposer> ?Answer .}"
"331","WORK","List all episodes of the first season of the HBO television series The Sopranos.","SELECT ?Answer WHERE { http://dbpedia.org/resource/The_Sopranos_(episode) <http://dbpedia.org/ontology/seasonNumber> ?Answer .}"
"332","N","Which city has the least inhabitants?","N"
"333","WORK","Where is Syngman Rhee buried?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Syngman_Rhee> <http://dbpedia.org/ontology/restingPlace> ?Answer .}"
"334","N","Does Neymar play for Real Madrid?","N"
"335","WORK","Who wrote the book The Pillars of the Earth?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"336","N","Do Prince Harry and Prince William have the same parents?","N"
"337","WORK","Who was the doctoral supervisor of Albert Einstein?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Albert_Einstein> <http://dbpedia.org/ontology/doctoralAdvisor> ?Answer .}"
"338","N","Does Breaking Bad have more episodes than Game of Thrones?","N"
"339","WORK","Who was Vincent van Gogh inspired by?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Vincent_van_Gogh> .}"
"340","N","Which building after the Burj Khalifa has the most floors?","N"
"341","N","What was the final result of the War of the Roses?","N"
"342","N","How much did Pulp Fiction cost?","N"
"343","N","Is proinsulin a protein?","N"
"344","N","Do Urdu and Persian have a common root?","N"
"345","N","Who is starring in Spanish movies produced by Benicio del Toro?","N"
"346","N","Is Lake Baikal bigger than the Great Bear Lake?","N"
"347","WORK","Show me all books in Asimov's Foundation series.","SELECT ?Answer WHERE { http://dbpedia.org/resource/Foundation_(Isaac_Asimov_novel) <http://dbpedia.org/ontology/series> ?Answer .}"
"348","WORK","Where was Bach born?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Yannick_Bach <http://dbpedia.org/ontology/birthPlace> ?Answer .}"
"349","N","Which city has the oldest running metro?","N"
"350","WORK","Who designed the Brooklyn Bridge?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/architect> ?Answer .}"
"351","WORK","How many people live in Eurasia?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Eurasia> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"352","WORK","Who is the host of the BBC Wildlife Specials?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?Answer .}"
"353","N","What is the total population of Melbourne, Florida?","N"
"354","WORK","What country is Mount Everest in?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/birthPlace> ?Arg . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Country>.}"
"355","WORK","To which artistic movement did the painter of The Three Dancers belong?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/artist> ?Arg .}"
"356","N","When did Operation Overlord commence?","N"
"357","N","What is the bridge with the longest span?","N"
"358","N","Is there a video game called Battle Chess?","N"
"359","N","Who was buried in the Great Pyramid of Giza?","N"
"360","N","Does the Ford Motor Company have a manufacturing plant in Malaysia?","N"
"361","N","Did Socrates influence Aristotle?","N"
"362","N","How many children did Benjamin Franklin have?","N"
"363","WORK","How tall is Michael Jordan?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Michael_Jordan> <http://dbpedia.org/ontology/height> ?Answer .}"
"364","WORK","In which UK city are the headquarters of the MI6?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Mike_City <http://dbpedia.org/ontology/alias> ?Answer .}"
"365","WORK","Who created Family Guy?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Wolf_Guy <http://dbpedia.org/ontology/author> ?Answer .}"
"366","WORK","In which city does the Chile Route 68 end?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/mouthCountry> http://dbpedia.org/resource/Chile . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/City>.}"
"367","N","Give me the grandchildren of Elvis Presley.","N"
"368","N","When did the Ming dynasty dissolve?","N"
"369","N","In which military conflicts did Lawrence of Arabia participate?","N"
"370","WORK","What is the timezone in San Pedro de Atacama?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/San_Pedro_de_Atacama> <http://dbpedia.org/ontology/timeZone> ?Answer .}"
"371","WORK","Give me all books by William Goldman with more than 300 pages.","SELECT ?Answer WHERE { http://dbpedia.org/resource/More_William <http://dbpedia.org/ontology/author> ?Answer .}"
"372","N","What did Bruce Carver die from?","N"
"373","WORK","Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/targetAirport> ?Arg .}"
"374","N","Does Abraham Lincoln's death place have a website?","N"
"375","N","Did Elvis Presley have children?","N"
"376","WORK","Is Michelle Obama the wife of Barack Obama?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/spouse> ?Answer .}"
"377","WORK","In which city does Sylvester Stallone live?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/City>.}"
"378","WORK","Which books by Kerouac were published by Viking Press?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> ?Arg .}"
"379","WORK","Who wrote the song Hotel California?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"380","WORK","What is the capital of Canada?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Canada> <http://dbpedia.org/ontology/capital> ?Answer .}"
"381","WORK","Who is the mayor of Tel Aviv?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Tel_Aviv> <http://dbpedia.org/ontology/leaderName> ?Answer .}"
"382","N","What form of government does Russia have?","N"
"383","WORK","Show me the book that Muhammad Ali wrote.","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/author> ?Arg .}"
"384","N","Who was the first to climb Mount Everest?","N"
"385","N","How many languages are spoken in Colombia?","N"
"386","WORK","What is the currency of the Czech Republic?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Czech_Republic> <http://dbpedia.org/ontology/currency> ?Answer .}"
"387","N","Where in France is sparkling wine produced?","N"
"388","N","When did Boris Becker end his active career?","N"
"389","WORK","Which movies starring Mickey Rourke were directed by Guy Ritchie?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/director> ?Arg .}"
"390","WORK","In which films did Julia Roberts as well as Richard Gere play?","SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/genre> ?Arg .}"
"391","N","Show me Hemingway's autobiography.","N"
"392","WORK","How tall is Amazon Eve?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?Answer .}"
"393","N","What are the five boroughs of New York?","N"
"394","N","Give me all Canadian Grunge record labels.","N"
"395","WORK","In which country does the Ganges start?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Country>.}"
"396","WORK","Who is the founder of Penguin Books?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Palladium_Books <http://dbpedia.org/ontology/foundedBy> ?Answer .}"
"397","WORK","Who wrote the Game of Thrones theme?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/author> ?Answer .}"
"398","WORK","Who is the president of Eritrea?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?Answer .}"
"399","N","In which city did John F. Kennedy die?","N"
"400","N","What is the highest mountain in Australia?","N"
"401","WORK","Who writes the Farmers' Almanac?","SELECT ?Answer WHERE { http://dbpedia.org/resource/Neanderthals,_Bandits_and_Farmers <http://dbpedia.org/ontology/author> ?Answer .}"
"402","WORK","Give me the currency of China.","SELECT ?Answer WHERE { <http://dbpedia.org/resource/China> <http://dbpedia.org/ontology/currency> ?Answer .}"
"403","N","Give me all Swedish oceanographers.","N"
"404","WORK","In which city are the headquarters of the United Nations?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/alias> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/City>.}"
"405","WORK","Is Rita Wilson the wife of Tom Hanks?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Tom_Hanks> <http://dbpedia.org/ontology/spouse> ?Answer .}"
"406","WORK","In which countries do people speak Japanese?","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/language> ?Answer .}"
"407","N","Which of Tim Burton's films had the highest budget?","N"
"408","N","Which museum in New York has the most visitors?","N"
"409","N","What was the first Queen album?","N"
"410","N","What was the first name of the band Queens of the Stone Age?","N"
"411","N","What was the last movie with Alec Guinness?","N"
"412","WORK","Give me all actors starring in Last Action Hero.","SELECT ?Answer WHERE { ?Arg <http://dbpedia.org/ontology/starring> ?Answer . ?Answer <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>   <http://dbpedia.org/ontology/Actor>.}"
"413","WORK","Who discovered Pluto?","SELECT ?Answer WHERE { <http://dbpedia.org/resource/Pluto> <http://dbpedia.org/ontology/discoverer> ?Answer .}"
